ENSGID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39
ENSG00000229237	6.731094000000001	5.744038	1.911645	5.915996	8.696304	5.524118	6.213871	1.981393	3.582099	3.405698	3.1033459999999997	5.988586	0.0	4.130908	8.498258	1.801564	0.414476	8.835811999999999	10.68852	6.255195	4.905994000000001	4.710587	2.30813	3.6448739999999997	5.378393	10.627414	8.744619	3.686901	1.6924139999999999	1.4584549999999998	6.487206	4.406841	0.265322	7.502336	6.840352	9.076872999999999	2.123202	3.202737	10.379351	5.137713
ENSG00000180318		0.108401				0.07557799999999999									1.6509939999999999			0.023359		0.17416900000000002	0.023546					0.85916		4.504993		0.028935000000000002		0.040853			0.059875	0.195576			0.127874	
ENSG00000251031	0.091075	0.121973	0.5344909999999999	0.035899	0.108544	0.0	0.27573800000000004	0.045344999999999996	0.13147999999999999	1.433301	1.605232	0.059358		0.053357	0.495544	0.125296	0.023027000000000002	0.068466	0.015004	0.0	0.079078	0.16588599999999998		0.064728	0.25692800000000005	0.0	0.047085	0.0	0.0	0.042405	0.0	0.12877	0.0	0.073581	0.029454	0.266832	0.0	0.468533	0.21764899999999998	0.0
ENSG00000183723	7.247524	9.715504	0.6071300000000001	2.566096	2.6968650000000003	1.744298	7.508706	0.791628	4.678536	1.637019	1.235852	1.037773	0.886574	0.624305	2.343166	1.3025799999999998	1.596476	18.437378	1.284637	2.598229	4.748132	2.396103	1.312229	1.415007	2.14031	7.358026	2.937401	2.4400880000000003	0.627672	1.4172879999999999	1.2583010000000001	2.709324	0.718511	1.982231	4.848559	3.047184	3.890106	0.832312	6.891912	0.5069100000000001
ENSG00000272767	0.539671	0.22489699999999999	0.393802	0.294475	0.040083999999999995	0.435341	0.245139	0.381227	0.181137	0.252815	0.200445	0.205884	0.22709000000000001	0.11205	0.7274189999999999	0.117203	0.085037	0.44220299999999996	0.254867	0.361969	0.172294	0.089416	0.082952	0.318198	0.090393	1.638292	0.243544	0.137243	0.253836	0.046979	0.22694	0.35318499999999997	0.256494	0.443538	0.174031	0.145637	0.121145	0.208249	1.127174	0.648034
ENSG00000240021	0.088371	0.062084	0.040258999999999996	0.182145	0.199736	0.180943	0.147798	0.045861	0.071189	0.086323	0.250136	0.127277	0.187891	0.0378	0.146873	0.004946	0.090807	0.322393	0.057073	0.13156199999999998	0.030606	0.070267	0.05807999999999999	0.071811	0.010023	0.051075	0.033698	0.050218	0.033714999999999995	0.015787	0.163105	0.174768	0.008401	0.092908	0.102998	0.026081	0.132909	0.079713	0.499144	0.219705
ENSG00000129038	3.743474	9.923942	2.985145	0.177178	1.698204	5.350908	1.927935	0.23582600000000004	0.450427	0.30994	1.346644	0.173532	1.013025	1.562457	1.0462280000000002	0.120522	2.589005	5.5804540000000005	1.137952	2.075606	3.2940910000000003	0.19659100000000002	1.9243970000000001	0.249243	6.491849	4.184255	0.749464	4.543671	2.736423	5.758057	5.715508	32.299969	1.0207760000000001	0.17839100000000002	0.23812199999999997	1.175653	0.32879400000000003	1.120059	0.30002399999999996	1.993744
ENSG00000119514	0.488271	1.088642	0.9159510000000001	0.037798000000000005	0.096357	0.11334300000000001		0.013968000000000001	0.032121	0.063294	0.061712	0.572633	0.05681699999999999	0.189564	1.462124	0.022459	0.08301599999999999	3.001474	0.374782	0.44070600000000004	0.257826	0.077827	0.263083	0.034501	0.546157	4.377865	0.074876	2.162186	0.165964	0.45820299999999997	0.299046	5.181868	0.085811	1.235177	0.097277	6.519001	1.840453	0.148817	0.23353800000000002	0.10771800000000001
ENSG00000241358		0.12253399999999999	0.0		0.0	0.051997	0.04897	0.034592000000000005		0.0	0.0	0.015237	0.367025	0.016632	0.363688	0.0	0.103997	0.200249	0.0	0.5640470000000001	0.026599		0.0	0.0	0.036419	0.23647100000000001	0.0	0.0	0.0	0.0	0.051847000000000004	0.045665				0.045620999999999995	0.0	0.0	0.0	0.0
ENSG00000255315					0.165667																														0.08885					
ENSG00000236383	1.561052	0.4173	0.292468	0.262775	0.368551	0.15784600000000001	0.21334699999999998	0.484033	0.085035	0.407715	0.274302	0.293269	0.6588649999999999	0.251033	0.377334	0.111055	0.454099	0.8314590000000001	0.44468100000000005	0.48364300000000005	0.219135	0.19593	0.316103	0.362007	0.178865	0.519422	0.134665	0.161135	0.09672	0.125702	0.31254699999999996	0.5152180000000001	0.41447399999999995	0.223373	0.220729	0.8643120000000001	0.08744400000000001	0.191136	0.148738	0.31890100000000005
ENSG00000225460	0.0	0.0	0.16861600000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.042916	0.0	0.0	0.0	0.046654	0.0	0.0	0.0	0.069395	0.032442	0.191688	0.037306	0.0	0.0	0.0	0.059434	0.0	0.0	0.0	0.0	0.0	0.0	0.0706	0.0	0.0	0.0	0.0305	0.0	0.0	0.0	0.097137
ENSG00000265872																																								
ENSG00000142632	0.752306	1.1836360000000001	2.662511	2.361087	4.293965	1.225816	0.591432	1.283967	2.061497	0.958665	0.26758699999999996	0.409375	0.663767	1.7205650000000001	12.727944	0.489353	0.583775	7.858149000000001	4.323915	0.997238	0.881453	2.5585709999999997	0.24629600000000001	0.16465	0.864174	6.030172	0.074322	1.949483	2.182416	2.8684279999999998	1.158967	5.794436	0.5278390000000001	4.768797	3.33552	5.466002	3.9306010000000002	0.356215	3.493171	2.698775
ENSG00000251840																																	0.0							
ENSG00000216781														0.029548												0.043367					0.052476									
ENSG00000115602	0.28239200000000003	0.176291	0.665686	0.040729	0.040055	0.8360569999999999	0.221703	0.082576	0.011036	0.164889	1.9675189999999998	0.015674	0.008434	0.5830310000000001	0.022683000000000002	0.09741799999999999	0.022739	0.016814	0.155803	0.099021	0.5483180000000001	0.042733	0.0	0.008246999999999999	0.325148	0.09388400000000001	0.035823	0.157789	0.018966999999999998	0.264903	0.311517	0.485887	0.0	0.037693	0.071576	0.013928999999999999	0.006229999999999999	0.028435000000000002	0.05364	0.022180000000000002
ENSG00000200620	0.0	0.0	0.0	0.127325	0.0	0.0	0.0	0.0	0.08148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.070826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25483	0.0	0.0	0.0	0.0	0.058367999999999996	0.0	0.0	0.0	0.156013
ENSG00000252215																																								
ENSG00000239857	30.916262	21.729092	10.961117	11.917449000000001	18.997902	27.309466999999998	17.524128	37.515259	13.661192999999999	18.42613	47.471725	14.686612	17.813554999999997	13.384288	27.041921999999996	9.446337	40.282925	47.609142	13.139737	37.053490000000004	23.236506	11.251713	16.168689999999998	18.267692999999998	13.952632999999999	36.49757	56.05085	19.270397	14.652397	27.706902000000003	22.261925	17.59079	133.17871100000002	12.928697	15.778039000000001	25.12854	49.485188	45.040859000000005	31.880974	16.408169
ENSG00000182179	26.065222	22.296659	35.539429	23.299763000000002	33.777126	19.733341	28.236148999999997	14.854482	10.606821	18.844624	24.993015	20.322315	13.998292999999999	22.650995	43.430431	15.402382000000001	5.9702980000000005	35.511371999999994	30.857992	38.343658000000005	35.875298	24.379032000000002	24.755434	17.372772	18.753355	30.769356	19.298445	25.382970999999998	14.801521	13.434586	11.225467	31.224194	14.366321	33.965664000000004	22.989853	51.83469	12.701189	13.936604	11.226663	11.998516
ENSG00000230639																																								
ENSG00000132256	11.162482	16.208363000000002	13.5405	16.094381	11.384521000000001	9.893129	8.635264999999999	4.851212	4.576985	9.525143	6.1664069999999995	3.099831	2.470652	7.754097	13.663313	9.341482000000001	3.085648	11.999063	5.524426	8.828401	10.710436	4.3075220000000005	6.100639	6.128626000000001	6.83224	11.275114	10.798523	7.2016990000000005	6.817711	6.074718	11.088375	9.369928999999999	1.9109369999999999	9.383979	5.9873389999999995	10.629736	7.3724419999999995	7.028498	7.54294	4.921312
ENSG00000263717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095215	0.0263	0.0	0.0	0.024799	0.0	0.0	0.0	0.0	0.0	0.036126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043914999999999996	0.0	0.0	0.0	0.066229	0.0	0.0	0.0	0.0
ENSG00000185522	1.564233	5.885391	3.081316	4.411991	3.670153	4.159809	2.479495	7.629214	2.7713229999999998	9.291335	9.665751	4.117593	7.293322	5.999968	15.941576000000001	3.290082	3.9032620000000002	11.655702999999999	3.312625	11.607814	5.018203	11.834532000000001	7.052469	3.143708	1.860956	3.538736	3.512482	7.771603	3.30882	6.071662	0.329437	7.007229	1.3044360000000002	7.193003	2.361296	16.015104	4.347562	2.7741119999999997	4.315387	3.7503660000000005
ENSG00000271234	0.066825	0.078471	0.0	0.0	0.0	0.0	0.034524	0.027870999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.167522	0.0	0.0	0.064695	0.0	0.0	0.0	0.0	0.0	0.065881	0.0	0.06691	0.013566	0.0	0.0	0.0	0.0	0.073777	0.135209	0.0	0.0	0.0	0.0	0.0	0.050973000000000004	0.0
ENSG00000207195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000144331	2.6423080000000003	0.643694	5.994024	2.032675	0.6878489999999999	0.893177	0.63546	5.981967	28.09556	8.692206	4.1754169999999995	2.03416	0.040659	6.190042	0.671304	5.823315	0.12667	0.603349	4.743785	1.0955629999999998	3.267816	0.42302	1.010532	1.2814219999999998	0.83716	4.144012	0.277493	0.066095	1.012659	4.510533000000001	0.6099439999999999	9.735544	0.536674	2.461928	9.419764	0.053732	1.67789	0.75183	3.4410300000000005	9.732108
ENSG00000201910	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000253912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038021	0.0	0.0	0.0	0.0	0.0
ENSG00000163565	155.522766	57.511745	50.847972999999996	43.047573	13.800104999999999	24.304787	16.081984	2.06173	7.779783	4.463983	6.0444260000000005	3.32545	0.7168939999999999	7.953661	32.652504	19.809521	1.196458	58.168465000000005	54.488739	98.20611600000001	30.268359999999998	12.280323	2.061842	6.158437	26.032942000000002	4.748908	6.984097	8.49081	3.8429559999999996	7.4678119999999995	10.442428999999999	22.23815	1.152599	7.0072220000000005	9.990950999999999	132.80346699999998	1.596323	7.908067	5.669784	10.615755
ENSG00000199133	0.37788099999999997	1.9780220000000002	0.122045	0.34428000000000003	0.122102	0.090917	0.0	0.141015	0.034983	0.0	0.162888	0.504483	0.0	0.0	0.631532	0.0	0.015767	1.506868	0.358093	0.0	0.276778	0.619229	0.13183499999999998	0.408488	0.130415	0.477929	0.1292	0.24743800000000002	0.120244	0.199101	0.132785	0.459908	0.0	0.0	0.0	0.033115	1.362551	0.27322399999999997	0.085967	0.0
ENSG00000025772	30.122073999999998	29.72065	13.111415	16.694479	15.02873	16.36355	18.792862	16.863304	12.395234	35.650524	9.139124	14.391051000000001	10.582161	10.120133000000001	17.24556	14.364783	12.959241	28.581853999999996	22.747524	15.317499	15.380768	14.620394000000001	13.206017000000001	12.314642	14.829794	17.117725	24.191797	17.122967000000003	11.649493	14.528645999999998	21.602598	17.501368	16.051662	16.046316	24.65624	32.205864	20.012423000000002	11.982692	36.299282	19.908693
ENSG00000258752	0.01957	0.022099	0.0	0.0	0.0	0.021892	0.0	0.0	0.0	0.029394	0.0	0.0	0.0	0.034451	0.0	0.0	0.0	0.007753	0.039756	0.0	0.0	0.013161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026276	0.0	0.017008000000000002	0.0	0.0	0.0	0.0	0.026861000000000003	0.015326	0.071128	0.0
ENSG00000263740	230.357346	8.629358	43.408173	9.785198	43.306164	29.917952000000003	199.104553	46.328712	26.068001000000002	75.81041	41.359435999999995	24.425079	5.824934	15.803537	31.149158	25.732899	4.664546	46.422764	27.153614	24.136904	100.959312	14.104636	14.520554999999998	8.911762	29.703651	36.636261	31.115913	49.643745	32.098831	61.623817	9.744006	15.42407	24.268760999999998	17.306263	80.158936	10.342257	31.918795000000003	12.878303	43.745670000000004	7.65838
ENSG00000257704	14.09084	13.438827999999999	7.222357000000001	5.886578	5.290388	11.569676	8.962017999999999	15.155157	4.294168	3.043431	2.941954	10.305773	24.499861	4.148064	21.281038	4.159941000000001	33.498985	11.621372000000001	8.522136999999999	14.364854000000001	10.240774	10.685503	19.920231	6.459586	8.40881	16.304169	9.987664	7.704897	11.099862	15.274932999999999	4.471576	11.195067	43.426952	10.203114999999999	8.484141000000001	19.649494	7.027417	6.799119999999999	20.693747000000002	10.634089
ENSG00000260822	8.501638	5.290557	1.422413	2.280709	2.6562759999999996	1.599369	1.501484	1.404886	0.307336	1.495834	2.012099	1.265025	2.366477	2.108577	4.412721	2.1790540000000003	1.334023	1.350378	2.428209	1.808873	2.734854	2.4484939999999997	1.514874	1.232661	1.072103	4.026809	2.323242	4.116317	0.717346	1.8755950000000001	1.51726	2.488876	0.898601	1.8484450000000001	1.7346759999999999	2.960456	2.4531099999999997	1.216422	0.189503	1.6909939999999999
ENSG00000162009	0.100428	1.5681180000000001	0.067743			0.892812	0.14786400000000002						0.5433319999999999		0.122357		0.780375	0.271834	0.068337	3.975624		4.614914			0.002723	9.834719999999999	0.141271			10.030478		0.09454800000000001	0.278043		0.042644999999999995	0.142537	0.05480499999999999	1.5380690000000001	0.822384	
ENSG00000258215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032826999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029056	0.0	0.065479	0.087915	0.043934	0.0	0.0	0.0	0.0
ENSG00000213071	3.8478470000000002	11.580436	39.55402	32.949158000000004	13.147375	25.567751	27.830111	66.729401	23.520032999999998	17.640837	22.687170000000002	28.797386	3.926766	55.957446999999995	20.055183	33.017517	11.465161	7.641512	20.219812	7.424985	23.297466	31.545403000000004	30.058267999999998	29.865060999999997	16.617065	13.514842999999999	6.012818	25.578123	68.724174	9.348089	27.715025	12.367078999999999	4.195296	22.358067000000002	37.080578	1.7459419999999999	18.107443	19.026472000000002	13.425327	25.857525
ENSG00000226597															0.031495																									
ENSG00000271693																				0.135322															0.121523		0.026583			
ENSG00000234112										0.0	0.056821		0.0		0.031886000000000005	0.0		0.22311	0.09727100000000001	0.042738	0.0	0.11391199999999999		0.0	0.0		0.097651	0.0		0.094457	0.23786100000000002	0.0		0.0	0.164825	0.21851900000000002	0.337538	0.0		
ENSG00000155329	8.517097999999999	10.503835	3.955908	8.761432000000001	10.449356	9.291372	12.410052	6.675021000000001	6.683167	11.303939999999999	5.940104	3.191797	29.214651	6.771553999999999	10.724803999999999	8.293178	6.262455999999999	7.8795660000000005	10.254799	9.208097	8.856977	10.115046000000001	16.956678	5.397551999999999	6.252565	8.205394	15.664775	6.351187	9.352019	4.573249	7.54922	7.149052	8.173266	9.674461	10.065750999999999	11.423038	3.636219	5.6775139999999995	8.924032	5.675888
ENSG00000241493	0.875395	0.12277300000000001		0.088433				0.021994	0.102033	0.0	0.12957						0.198114	0.239729	0.086388		0.154861	0.08658400000000001				0.076562		0.209127					0.0		0.18105				0.062349	
ENSG00000214917	0.015474000000000002	0.211038	0.099083	0.0	0.137919	0.140734	0.13347	0.128972	0.197019	0.0	0.089508	0.0	0.008681999999999999	0.054831	0.102264	0.0	0.11703499999999999	0.0	0.0	0.0	0.016741	0.091468	0.035677	0.0	0.035293	0.268478	0.046619	0.066961	0.389832	0.182116	0.046617	0.074287	0.190157	0.126931	0.112273	0.286767	0.189131	0.06021900000000001	0.195009	0.0
ENSG00000229983	0.032075	0.023413999999999997	0.040831			0.035939		0.027325					1.022041	0.006735	0.161671	0.0038350000000000003	0.089039	0.198552	0.103379	0.23606799999999997			0.027143		0.026291000000000002	0.032799	0.200559	0.012736		0.14347000000000001	0.106397	0.031562	1.279353		0.21235300000000001	0.149947			0.218115	
ENSG00000170647	5.0929519999999995	7.518853	3.002829	4.611415	2.865308	5.168108999999999	1.7524680000000001	2.511238	1.684721	4.39153	3.4786940000000004	2.022636	0.698358	3.0604299999999998	1.9268509999999999	9.118297	0.12764	1.503087	3.239911	3.8848870000000004	6.036505	1.668561	1.631843	0.873373	2.476691	4.236386	1.9050610000000001	3.049734	4.617362	3.048603	2.134941	6.940519999999999	0.060788	11.898578	3.201881	1.992376	4.75855	1.459252	2.745263	0.670248
ENSG00000203492																																								
ENSG00000130528	0.286319	0.177563	2.48706	0.088258	0.802929	0.8665729999999999	0.8545209999999999	0.299004	0.21464499999999997	10.733818	0.843656	0.5684739999999999	0.808632	0.784421	0.18889	1.202259	1.4728780000000001	0.510456	0.670369	0.364194	1.005915	0.152424	1.236802	0.11875799999999999	0.8264370000000001	1.585352	0.40697	0.748581	1.382865	1.5474940000000001	4.462723	2.9009259999999997	1.27252	0.8781049999999999	1.248399	0.474733	2.674647	0.633297	0.37558600000000003	3.4260059999999997
ENSG00000221916	2.4199669999999998	1.64857	1.0089059999999999	1.306306	0.872843	0.674914	1.3824370000000001	9.947897	5.772272	1.7051479999999999	3.446245	1.383674	4.423567	1.453416	5.054074	3.6215900000000003	2.6283	0.77551	2.121739	3.013623	1.8678009999999998	3.428757	2.682718	1.65477	0.768041	3.077387	1.90878	2.102512	10.367924	1.24085	2.1089900000000004	2.7580709999999997	7.123342999999999	4.053985	2.635352	1.833163	6.475255000000001	0.8769370000000001	4.799809	1.273192
ENSG00000211566																																								
ENSG00000261151		0.065282																0.0		0.029115	0.0											0.017985		0.020266		0.013921000000000001		0.0	0.014237999999999999	
