ENSGID	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
ENSG00000186951	6.10596	25.323639	5.555251999999999	15.539565	9.235239	18.136681	2.37446	39.01548	4.359184	7.962489	23.57757	32.159664	4.792752	19.606928	8.517171000000001	15.025731	8.053324	19.85663	10.979118	9.201259	7.484441	3.348001	24.448420000000002	6.821286	6.293525	29.176424	5.8528139999999995	3.73083	2.83465	12.736198	6.874059	11.035583	9.522174	9.032689999999999	9.77567	9.548762	7.5216330000000005	14.329966	3.263579	28.781316999999998	10.840155000000001
ENSG00000244699					0.044896						0.0	0.029878							0.0607		0.065828				0.063536		0.032433	0.035358	0.044217		0.031902999999999994	0.039626						0.038442000000000004	0.038600999999999996		
ENSG00000171161	25.292177	8.13994	30.808777000000003	20.741117000000003	19.926865	29.93277	19.20993	17.062706	24.314444	18.905604999999998	13.671907000000001	22.452112	10.277526	7.708003999999999	23.186081	32.215191	7.181814999999999	9.915331	50.897255	13.672058999999999	11.02018	18.413292000000002	17.872785999999998	15.348536	10.100368	6.812324	13.057049000000001	7.2768630000000005	15.330439000000002	11.355097	6.192986	8.706594	19.146225	13.549641000000001	8.786002	41.498016	9.449199	14.863465	30.408053999999996	14.187504999999998	14.435398000000001
ENSG00000100731	0.632347	3.7173199999999995	1.060333	1.035423	1.3118299999999998	2.192016	2.398589	2.45071	3.631901	0.657103	2.459425	5.28722	1.889191	2.054913	5.026777	1.3804319999999999	0.740097	5.397524	4.433848	3.926878	1.941731	2.510595	4.521167	4.723866	1.464996	6.448844	2.296744	0.549187	2.418764	4.591563	1.92966	0.682998	1.201594	0.720869	0.705382	1.525823	2.718632	2.435234	4.621255000000001	1.746052	1.342778
ENSG00000249877								0.058271													0.041943																				
ENSG00000273555	0.365425	0.300482	0.355971	0.336109	0.711852	0.6497149999999999	0.062294	0.9823850000000001	0.20911	0.23169	0.45148999999999995	0.482336	0.019586000000000003	0.150075	0.680367	1.106687	0.339939	0.0	0.15908	0.779734	0.504509	0.35412	0.0	0.296914	0.643104	0.240682	0.323348	2.7266209999999997	2.14042	0.027677999999999998	0.013625	0.633057	0.43259	0.039229	0.735138	0.43610200000000005	0.140405	0.895816	0.871685	0.44405600000000006	0.25953699999999996
ENSG00000280145	0.357514	0.945321	0.48432200000000003	0.117789	0.22798800000000002	1.0767719999999998	0.6095520000000001	0.030832	0.088744	0.639894	0.5067510000000001	0.146806	0.247928	1.126902	0.644642	0.9701870000000001	0.153705	1.4366450000000002	0.552453	1.860727	0.15906199999999998	0.32501399999999997	0.14463199999999998	0.536956	0.800399	0.020728	2.447072	0.165695	1.797953	0.071916	0.337136	0.48145600000000005	0.060320000000000006	1.114114	0.289118	0.600116	0.233873	1.2109860000000001	3.028532	0.9502	0.075412
ENSG00000143569	45.159302000000004	48.944138	33.890144	34.004845	41.021049	76.904579	12.767227	88.634438	37.747837	45.605606	31.477247	60.873737	13.790818	90.676872	56.236729000000004	122.20205700000001	26.345971999999996	277.87060499999995	65.288658	101.59201800000001	40.500328	12.037245	24.501799	31.742092	35.551048	33.2999	67.188133	49.265246999999995	99.716766	11.218925	16.832468	20.641005	24.187832	32.746094	22.053086999999998	35.142792	14.293524	58.825516	76.936836	42.80658	39.060379
ENSG00000180919	0.026505	0.058845	0.018985			0.022797	0.020765000000000002	0.037742000000000005	0.023234		0.062470000000000005	0.050842	0.026114	0.11124	0.002362		0.045325		0.042421	0.074111	0.109028		0.016189		0.08660599999999999	0.053485000000000005	0.235152		0.283265			0.038079	0.026826999999999997	0.06901399999999999		0.098642	0.019201	0.01847	0.012364	0.049339	
ENSG00000273981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000280420		0.121683			0.146899			0.12466400000000001	0.090634	0.0				0.066845		0.044832		0.244682	0.010518000000000001	0.021118	0.123019	0.026947000000000002	0.122022		0.17223	0.031826	0.147331	0.222392	0.305505		0.057654					0.134383	0.010473	0.093421	0.123234		0.0
ENSG00000200792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106277	0.162641	0.0	0.0	0.0	0.0
ENSG00000220575			0.021577000000000002																	0.0																					
